RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location
700007,2015186666,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/05/2015,06/04/2015,,20 AV / E FIR ST,G,G2,8700.3009,-122.306350708,47.602672577,"(47.602672577, -122.306350708)"
699353,2015189524,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/07/2015,06/06/2015,06/06/2015,17XX BLOCK OF TAYLOR AV N,Q,Q2,6700.3000,-122.346710205,47.634346008,"(47.634346008, -122.346710205)"
699378,2015190104,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/07/2015,06/06/2015,06/07/2015,143XX BLOCK OF 30 AV NE,L,L1,100.4001,-122.296524048,47.733249664,"(47.733249664, -122.296524048)"
700089,2015185702,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/04/2015,06/03/2015,06/03/2015,9XX BLOCK OF 13 AV E,C,C1,6500.3002,-122.315917969,47.627483368,"(47.627483368, -122.315917969)"
699400,2015189877,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/07/2015,06/07/2015,,88XX BLOCK OF RAINIER AV S,S,S2,11800.4000,-122.269981384,47.524738312,"(47.524738312, -122.269981384)"
699406,2015190309,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/07/2015,06/06/2015,06/07/2015,7XX BLOCK OF BOYLSTON AV E,C,C1,6500.2007,-122.323570251,47.625988007,"(47.625988007, -122.323570251)"
700098,2015903719,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/03/2015,06/03/2015,06/03/2015,PINE ST / 7 AV,M,M2,8200.1006,-122.334259033,47.612598419,"(47.612598419, -122.334259033)"
700116,2015185442,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/04/2015,06/04/2015,06/04/2015,12XX BLOCK OF NE 42 ST,U,U2,5301.3007,-122.314941406,47.658336639,"(47.658336639, -122.314941406)"
700168,2015183985,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/03/2015,05/31/2015,06/01/2015,22XX BLOCK OF E NORTH ST,C,C2,6200.1028,-122.302978516,47.643745422,"(47.643745422, -122.302978516)"
700172,2015185785,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/04/2015,06/04/2015,,40XX BLOCK OF LEARY WY NW,B,B2,4800.3031,-122.362342834,47.656497955,"(47.656497955, -122.362342834)"
699495,2015903824,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/08/2015,05/30/2015,05/30/2015,40XX BLOCK OF STONE WY N,B,B3,5400.4000,-122.342391968,47.656284332,"(47.656284332, -122.342391968)"
699506,2015191829,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/08/2015,06/08/2015,,NE 50 ST / 9 AV NE,U,U1,4500.1010,-122.318443298,47.66493988,"(47.66493988, -122.318443298)"
699574,2015191358,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/08/2015,06/08/2015,,11XX BLOCK OF 2 AV,K,K1,8100.2033,-122.336105347,47.606227875,"(47.606227875, -122.336105347)"
700275,2015186183,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/04/2015,06/04/2015,,40XX BLOCK OF 8 AV NE,U,U2,5200.2008,-122.319793701,47.65668869,"(47.65668869, -122.319793701)"
699663,2015185966,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/04/2015,06/04/2015,06/04/2015,7XX BLOCK OF 5 AV,K,K1,8100.2026,-122.330169678,47.60477066,"(47.60477066, -122.330169678)"
699664,2015187367,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/05/2015,06/04/2015,06/04/2015,1 AV / UNIVERSITY ST,M,M1,8100.1001,-122.338195801,47.606834412,"(47.606834412, -122.338195801)"
699707,2015188144,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/06/2015,06/05/2015,06/05/2015,6XX BLOCK OF OLIVE WY,M,M2,7300.3028,-122.335723877,47.613361359,"(47.613361359, -122.335723877)"
699712,2015188206,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/06/2015,06/03/2015,06/05/2015,7XX BLOCK OF BROADWAY E,C,C1,6500.3007,-122.321311951,47.625976563,"(47.625976563, -122.321311951)"
699719,2015188815,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/06/2015,05/14/2015,05/28/2015,28XX BLOCK OF WESTERN AV,D,D1,8001.5000,-122.352890015,47.615970612,"(47.615970612, -122.352890015)"
699750,2015187129,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/05/2015,05/22/2015,06/05/2015,50XX BLOCK OF 15 AV NE,U,U1,4400.4009,-122.311927795,47.665660858,"(47.665660858, -122.311927795)"
700358,2015183523,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/02/2015,06/02/2015,06/02/2015,15XX BLOCK OF 6 AV,M,M3,8200.1005,-122.334915161,47.61164093,"(47.61164093, -122.334915161)"
699782,2015903778,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/06/2015,06/03/2015,06/03/2015,1 AV N / VALLEY ST,Q,Q3,7000.3015,-122.355384827,47.626247406,"(47.626247406, -122.355384827)"
700367,2015183012,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/02/2015,05/14/2015,05/28/2015,13XX BLOCK OF SPRING ST,E,E3,8400.2007,-122.323013306,47.611213684,"(47.611213684, -122.323013306)"
699803,2015187349,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/05/2015,06/04/2015,06/05/2015,7XX BLOCK OF BROADWAY,E,E3,8400.2012,-122.320755005,47.608657837,"(47.608657837, -122.320755005)"
700403,2015182215,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/01/2015,05/30/2015,06/01/2015,87XX BLOCK OF GREENWOOD AV N,J,J1,1701.1005,-122.355331421,47.693317413,"(47.693317413, -122.355331421)"
700431,2015903692,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/02/2015,06/02/2015,06/02/2015,47XX BLOCK OF 8 AV NE,U,U2,5200.5001,-122.319549561,47.663574219,"(47.663574219, -122.319549561)"
699891,2015903753,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/05/2015,06/02/2015,06/04/2015,18XX BLOCK OF NW 65 ST,J,J2,3300.5003,-122.380508423,47.675991058,"(47.675991058, -122.380508423)"
700481,2015181632,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/01/2015,05/19/2015,05/21/2015,29XX BLOCK OF 1 AV,D,D1,8001.1002,-122.353172302,47.61730957,"(47.61730957, -122.353172302)"
700493,2015183452,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/02/2015,06/02/2015,,23XX BLOCK OF MINOR AV E,D,D3,6100.4007,-122.328353882,47.640880585,"(47.640880585, -122.328353882)"
700531,2015183411,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/02/2015,06/02/2015,06/02/2015,22XX BLOCK OF E MADISON ST,C,C3,7900.1000,-122.303100586,47.618797302,"(47.618797302, -122.303100586)"
700534,2015183386,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/02/2015,05/30/2015,05/31/2015,72XX BLOCK OF DAYTON AV N,J,J3,2800.3004,-122.352600098,47.681430817,"(47.681430817, -122.352600098)"
700553,2015903987,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/01/2015,06/01/2015,06/01/2015,AURORA AV N / N 85 ST,J,J3,1800.2010,-122.344520569,47.690563202,"(47.690563202, -122.344520569)"
700564,2015183266,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/02/2015,05/29/2015,,34XX BLOCK OF FREMONT AV N,B,B2,4900.2023,-122.34979248,47.650009155,"(47.650009155, -122.34979248)"
700583,2015181469,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/01/2015,05/31/2015,05/31/2015,THOMAS ST / TERRY AV N,D,D3,7300.3011,-122.337158203,47.620868683,"(47.620868683, -122.337158203)"
700597,2015181729,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/01/2015,05/21/2015,05/25/2015,1XX BLOCK OF HARVARD AV E,E,E1,7402.1010,-122.32219696,47.619316101,"(47.619316101, -122.32219696)"
700632,2015183947,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/03/2015,06/01/2015,06/02/2015,NE 45 ST / 9 AV NE,U,U2,5200.5006,-122.318778992,47.661304474,"(47.661304474, -122.318778992)"
700633,2015184177,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/03/2015,06/02/2015,06/02/2015,13XX BLOCK OF 5 AV,M,M3,8200.1021,-122.334213257,47.60918808,"(47.60918808, -122.334213257)"
700792,2015178275,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/29/2015,05/24/2015,05/29/2015,140XX BLOCK OF LINDEN AV N,N,N2,401.1007,-122.347755432,47.730316162,"(47.730316162, -122.347755432)"
700837,2015178981,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/30/2015,05/30/2015,,19XX BLOCK OF 6 AV S,O,O1,9300.3010,-122.325973511,47.585075378,"(47.585075378, -122.325973511)"
700839,2015179088,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/30/2015,05/29/2015,05/30/2015,7 AV NE / NE 47 ST,U,U2,5200.5001,-122.320716858,47.663139343,"(47.663139343, -122.320716858)"
700853,2015175777,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/28/2015,05/27/2015,05/27/2015,7XX BLOCK OF N 35 ST,B,B2,4900.2022,-122.348640442,47.650341034,"(47.650341034, -122.348640442)"
